x	xend	y	yend	key	showSelected1
-41.25	-27.5	-3.65	-3.35	12 6	7
-22.25	-27.5	-3.65	-3.35	13 6	7
-47.25	-41.25	-4.65	-4.35	14 12	7
-35.25	-41.25	-4.65	-4.35	15 12	7
-9	0	-0.65	-0.35	2 1	8
9	0	-0.65	-0.35	3 1	8
-18	-9	-1.65	-1.35	4 2	8
-6	-9	-1.65	-1.35	5 2	8
-27.5	-18	-2.65	-2.35	6 4	8
-8.5	-18	-2.65	-2.35	7 4	8
6	9	-1.65	-1.35	8 3	8
18	9	-1.65	-1.35	9 3	8
-10.25	-8.5	-3.65	-3.35	10 7	8
1.75	-8.5	-3.65	-3.35	11 7	8
-41.25	-27.5	-3.65	-3.35	12 6	8
-22.25	-27.5	-3.65	-3.35	13 6	8
-48.25	-41.25	-4.65	-4.35	14 12	8
-34.25	-41.25	-4.65	-4.35	15 12	8
-40.25	-34.25	-5.65	-5.35	16 15	8
-28.25	-34.25	-5.65	-5.35	17 15	8
-9	0	-0.65	-0.35	2 1	9
9	0	-0.65	-0.35	3 1	9
-18	-9	-1.65	-1.35	4 2	9
-6	-9	-1.65	-1.35	5 2	9
-27.5	-18	-2.65	-2.35	6 4	9
-8.5	-18	-2.65	-2.35	7 4	9
6	9	-1.65	-1.35	8 3	9
18	9	-1.65	-1.35	9 3	9
-9.5	-8.5	-3.65	-3.35	10 7	9
5.5	-8.5	-3.65	-3.35	11 7	9
-43.5	-27.5	-3.65	-3.35	12 6	9
-24.5	-27.5	-3.65	-3.35	13 6	9
-50.5	-43.5	-4.65	-4.35	14 12	9
-36.5	-43.5	-4.65	-4.35	15 12	9
-42.5	-36.5	-5.65	-5.35	16 15	9
-30.5	-36.5	-5.65	-5.35	17 15	9
-15.5	-9.5	-4.65	-4.35	18 10	9
-3.5	-9.5	-4.65	-4.35	19 10	9
-9	0	-0.65	-0.35	2 1	10
9	0	-0.65	-0.35	3 1	10
-20.25	-9	-1.65	-1.35	4 2	10
-8.25	-9	-1.65	-1.35	5 2	10
-33	-20.25	-2.65	-2.35	6 4	10
-14	-20.25	-2.65	-2.35	7 4	10
6.75	9	-1.65	-1.35	8 3	10
21.75	9	-1.65	-1.35	9 3	10
-15	-14	-3.65	-3.35	10 7	10
-3.5527136788005e-15	-14	-3.65	-3.35	11 7	10
-49	-33	-3.65	-3.35	12 6	10
-30	-33	-3.65	-3.35	13 6	10
-56	-49	-4.65	-4.35	14 12	10
-42	-49	-4.65	-4.35	15 12	10
-48	-42	-5.65	-5.35	16 15	10
-36	-42	-5.65	-5.35	17 15	10
-21	-15	-4.65	-4.35	18 10	10
-9	-15	-4.65	-4.35	19 10	10
4	6.75	-2.65	-2.35	20 8	10
16	6.75	-2.65	-2.35	21 8	10
-9	0	-0.65	-0.35	2 1	11
9	0	-0.65	-0.35	3 1	11
-20.25	-9	-1.65	-1.35	4 2	11
-8.25	-9	-1.65	-1.35	5 2	11
-33	-20.25	-2.65	-2.35	6 4	11
-14	-20.25	-2.65	-2.35	7 4	11
6.75	9	-1.65	-1.35	8 3	11
21.75	9	-1.65	-1.35	9 3	11
-15	-14	-3.65	-3.35	10 7	11
-3.5527136788005e-15	-14	-3.65	-3.35	11 7	11
-49	-33	-3.65	-3.35	12 6	11
-30	-33	-3.65	-3.35	13 6	11
-57.5	-49	-4.65	-4.35	14 12	11
-40.5	-49	-4.65	-4.35	15 12	11
-43	-40.5	-5.65	-5.35	16 15	11
-31	-40.5	-5.65	-5.35	17 15	11
-21	-15	-4.65	-4.35	18 10	11
-9	-15	-4.65	-4.35	19 10	11
4	6.75	-2.65	-2.35	20 8	11
16	6.75	-2.65	-2.35	21 8	11
-67	-57.5	-5.65	-5.35	22 14	11
-55	-57.5	-5.65	-5.35	23 14	11
-9	0	-0.65	-0.35	2 1	12
9	0	-0.65	-0.35	3 1	12
-20.25	-9	-1.65	-1.35	4 2	12
-8.25	-9	-1.65	-1.35	5 2	12
-47.0833333333333	-20.25	-2.65	-2.35	6 4	12
-28.0833333333333	-20.25	-2.65	-2.35	7 4	12
6.75	9	-1.65	-1.35	8 3	12
21.75	9	-1.65	-1.35	9 3	12
-29.0833333333333	-28.0833333333333	-3.65	-3.35	10 7	12
-14.0833333333333	-28.0833333333333	-3.65	-3.35	11 7	12
-63.0833333333333	-47.0833333333333	-3.65	-3.35	12 6	12
-44.0833333333333	-47.0833333333333	-3.65	-3.35	13 6	12
-71.5833333333334	-63.0833333333333	-4.65	-4.35	14 12	12
-54.5833333333334	-63.0833333333333	-4.65	-4.35	15 12	12
-57.0833333333334	-54.5833333333334	-5.65	-5.35	16 15	12
-45.0833333333334	-54.5833333333334	-5.65	-5.35	17 15	12
-35.0833333333333	-29.0833333333333	-4.65	-4.35	18 10	12
-23.0833333333333	-29.0833333333333	-4.65	-4.35	19 10	12
13.9166666666667	6.75	-2.65	-2.35	20 8	12
25.9166666666667	6.75	-2.65	-2.35	21 8	12
-81.0833333333333	-71.5833333333334	-5.65	-5.35	22 14	12
-69.0833333333334	-71.5833333333334	-5.65	-5.35	23 14	12
-10.0833333333333	-8.25	-2.65	-2.35	24 5	12
1.91666666666667	-8.25	-2.65	-2.35	25 5	12
-9	0	-0.65	-0.35	2 1	13
9	0	-0.65	-0.35	3 1	13
-20.25	-9	-1.65	-1.35	4 2	13
-8.25	-9	-1.65	-1.35	5 2	13
-50.5833333333333	-20.25	-2.65	-2.35	6 4	13
-31.5833333333333	-20.25	-2.65	-2.35	7 4	13
6.75	9	-1.65	-1.35	8 3	13
21.75	9	-1.65	-1.35	9 3	13
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	13
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	13
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	13
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	13
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	13
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	13
-60.5833333333333	-58.0833333333333	-5.65	-5.35	16 15	13
-48.5833333333333	-58.0833333333333	-5.65	-5.35	17 15	13
-38.5833333333333	-32.5833333333333	-4.65	-4.35	18 10	13
-26.5833333333333	-32.5833333333333	-4.65	-4.35	19 10	13
17.4166666666667	6.75	-2.65	-2.35	20 8	13
36.4166666666667	6.75	-2.65	-2.35	21 8	13
-84.5833333333333	-75.0833333333334	-5.65	-5.35	22 14	13
-72.5833333333334	-75.0833333333334	-5.65	-5.35	23 14	13
-13.5833333333333	-8.25	-2.65	-2.35	24 5	13
-1.58333333333333	-8.25	-2.65	-2.35	25 5	13
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	13
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	13
-9	0	-0.65	-0.35	2 1	14
9	0	-0.65	-0.35	3 1	14
-20.25	-9	-1.65	-1.35	4 2	14
-8.25	-9	-1.65	-1.35	5 2	14
-50.5833333333333	-20.25	-2.65	-2.35	6 4	14
-31.5833333333333	-20.25	-2.65	-2.35	7 4	14
6.75	9	-1.65	-1.35	8 3	14
21.75	9	-1.65	-1.35	9 3	14
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	14
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	14
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	14
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	14
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	14
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	14
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	14
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	14
-38.5833333333333	-32.5833333333333	-4.65	-4.35	18 10	14
-26.5833333333333	-32.5833333333333	-4.65	-4.35	19 10	14
17.4166666666667	6.75	-2.65	-2.35	20 8	14
36.4166666666667	6.75	-2.65	-2.35	21 8	14
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	14
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	14
-13.5833333333333	-8.25	-2.65	-2.35	24 5	14
-1.58333333333333	-8.25	-2.65	-2.35	25 5	14
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	14
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	14
-65.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	14
-53.3333333333334	-59.3333333333333	-6.65	-6.35	29 16	14
-9	0	-0.65	-0.35	2 1	15
9	0	-0.65	-0.35	3 1	15
-20.25	-9	-1.65	-1.35	4 2	15
-8.25	-9	-1.65	-1.35	5 2	15
-50.5833333333333	-20.25	-2.65	-2.35	6 4	15
-31.5833333333333	-20.25	-2.65	-2.35	7 4	15
6.75	9	-1.65	-1.35	8 3	15
21.75	9	-1.65	-1.35	9 3	15
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	15
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	15
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	15
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	15
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	15
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	15
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	15
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	15
-38.5833333333333	-32.5833333333333	-4.65	-4.35	18 10	15
-26.5833333333333	-32.5833333333333	-4.65	-4.35	19 10	15
17.4166666666667	6.75	-2.65	-2.35	20 8	15
36.4166666666667	6.75	-2.65	-2.35	21 8	15
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	15
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	15
-13.5833333333333	-8.25	-2.65	-2.35	24 5	15
-1.58333333333333	-8.25	-2.65	-2.35	25 5	15
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	15
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	15
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	15
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	15
-72.3333333333333	-66.3333333333334	-7.65	-7.35	30 28	15
-60.3333333333334	-66.3333333333334	-7.65	-7.35	31 28	15
-9	0	-0.65	-0.35	2 1	16
9	0	-0.65	-0.35	3 1	16
-20.25	-9	-1.65	-1.35	4 2	16
-8.25	-9	-1.65	-1.35	5 2	16
-50.5833333333333	-20.25	-2.65	-2.35	6 4	16
-31.5833333333333	-20.25	-2.65	-2.35	7 4	16
6.75	9	-1.65	-1.35	8 3	16
21.75	9	-1.65	-1.35	9 3	16
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	16
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	16
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	16
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	16
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	16
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	16
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	16
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	16
-43.0833333333333	-32.5833333333333	-4.65	-4.35	18 10	16
-31.0833333333333	-32.5833333333333	-4.65	-4.35	19 10	16
17.4166666666667	6.75	-2.65	-2.35	20 8	16
36.4166666666667	6.75	-2.65	-2.35	21 8	16
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	16
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	16
-13.5833333333333	-8.25	-2.65	-2.35	24 5	16
-1.58333333333333	-8.25	-2.65	-2.35	25 5	16
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	16
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	16
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	16
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	16
-72.3333333333333	-66.3333333333334	-7.65	-7.35	30 28	16
-60.3333333333334	-66.3333333333334	-7.65	-7.35	31 28	16
-19.0833333333333	-17.5833333333333	-4.65	-4.35	32 11	16
-7.08333333333334	-17.5833333333333	-4.65	-4.35	33 11	16
-9	0	-0.65	-0.35	2 1	17
9	0	-0.65	-0.35	3 1	17
-20.25	-9	-1.65	-1.35	4 2	17
-8.25	-9	-1.65	-1.35	5 2	17
-50.5833333333333	-20.25	-2.65	-2.35	6 4	17
-31.5833333333333	-20.25	-2.65	-2.35	7 4	17
6.75	9	-1.65	-1.35	8 3	17
21.75	9	-1.65	-1.35	9 3	17
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	17
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	17
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	17
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	17
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	17
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	17
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	17
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	17
-43.0833333333333	-32.5833333333333	-4.65	-4.35	18 10	17
-31.0833333333333	-32.5833333333333	-4.65	-4.35	19 10	17
17.4166666666667	6.75	-2.65	-2.35	20 8	17
36.4166666666667	6.75	-2.65	-2.35	21 8	17
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	17
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	17
-13.5833333333333	-8.25	-2.65	-2.35	24 5	17
-1.58333333333333	-8.25	-2.65	-2.35	25 5	17
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	17
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	17
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	17
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	17
-73.3333333333334	-66.3333333333334	-7.65	-7.35	30 28	17
-59.3333333333333	-66.3333333333334	-7.65	-7.35	31 28	17
-19.0833333333333	-17.5833333333333	-4.65	-4.35	32 11	17
-7.08333333333334	-17.5833333333333	-4.65	-4.35	33 11	17
-79.3333333333333	-73.3333333333334	-8.65	-8.35	34 30	17
-67.3333333333333	-73.3333333333334	-8.65	-8.35	35 30	17
-9	0	-0.65	-0.35	2 1	18
9	0	-0.65	-0.35	3 1	18
-20.25	-9	-1.65	-1.35	4 2	18
-8.25	-9	-1.65	-1.35	5 2	18
-50.5833333333333	-20.25	-2.65	-2.35	6 4	18
-31.5833333333333	-20.25	-2.65	-2.35	7 4	18
6.75	9	-1.65	-1.35	8 3	18
21.75	9	-1.65	-1.35	9 3	18
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	18
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	18
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	18
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	18
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	18
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	18
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	18
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	18
-43.0833333333333	-32.5833333333333	-4.65	-4.35	18 10	18
-31.0833333333333	-32.5833333333333	-4.65	-4.35	19 10	18
17.4166666666667	6.75	-2.65	-2.35	20 8	18
36.4166666666667	6.75	-2.65	-2.35	21 8	18
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	18
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	18
-13.5833333333333	-8.25	-2.65	-2.35	24 5	18
-1.58333333333333	-8.25	-2.65	-2.35	25 5	18
11.4166666666667	17.4166666666667	-3.65	-3.35	26 20	18
23.4166666666667	17.4166666666667	-3.65	-3.35	27 20	18
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	18
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	18
-73.3333333333334	-66.3333333333334	-7.65	-7.35	30 28	18
-59.3333333333333	-66.3333333333334	-7.65	-7.35	31 28	18
-19.0833333333333	-17.5833333333333	-4.65	-4.35	32 11	18
-7.08333333333334	-17.5833333333333	-4.65	-4.35	33 11	18
-80.8333333333333	-73.3333333333334	-8.65	-8.35	34 30	18
-65.8333333333334	-73.3333333333334	-8.65	-8.35	35 30	18
-86.8333333333334	-80.8333333333333	-9.65	-9.35	36 34	18
-74.8333333333333	-80.8333333333333	-9.65	-9.35	37 34	18
-9	0	-0.65	-0.35	2 1	19
9	0	-0.65	-0.35	3 1	19
-20.25	-9	-1.65	-1.35	4 2	19
-8.25	-9	-1.65	-1.35	5 2	19
-50.5833333333333	-20.25	-2.65	-2.35	6 4	19
-31.5833333333333	-20.25	-2.65	-2.35	7 4	19
6.75	9	-1.65	-1.35	8 3	19
21.75	9	-1.65	-1.35	9 3	19
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	19
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	19
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	19
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	19
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	19
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	19
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	19
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	19
-43.0833333333333	-32.5833333333333	-4.65	-4.35	18 10	19
-31.0833333333333	-32.5833333333333	-4.65	-4.35	19 10	19
17.4166666666667	6.75	-2.65	-2.35	20 8	19
36.4166666666667	6.75	-2.65	-2.35	21 8	19
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	19
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	19
-13.5833333333333	-8.25	-2.65	-2.35	24 5	19
-1.58333333333333	-8.25	-2.65	-2.35	25 5	19
8.91666666666667	17.4166666666667	-3.65	-3.35	26 20	19
20.9166666666667	17.4166666666667	-3.65	-3.35	27 20	19
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	19
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	19
-73.3333333333334	-66.3333333333334	-7.65	-7.35	30 28	19
-59.3333333333333	-66.3333333333334	-7.65	-7.35	31 28	19
-19.0833333333333	-17.5833333333333	-4.65	-4.35	32 11	19
-7.08333333333334	-17.5833333333333	-4.65	-4.35	33 11	19
-80.8333333333333	-73.3333333333334	-8.65	-8.35	34 30	19
-65.8333333333334	-73.3333333333334	-8.65	-8.35	35 30	19
-86.8333333333334	-80.8333333333333	-9.65	-9.35	36 34	19
-74.8333333333333	-80.8333333333333	-9.65	-9.35	37 34	19
32.9166666666667	36.4166666666667	-3.65	-3.35	38 21	19
44.9166666666667	36.4166666666667	-3.65	-3.35	39 21	19
-9	0	-0.65	-0.35	2 1	20
9	0	-0.65	-0.35	3 1	20
-20.25	-9	-1.65	-1.35	4 2	20
-8.25	-9	-1.65	-1.35	5 2	20
-50.5833333333333	-20.25	-2.65	-2.35	6 4	20
-31.5833333333333	-20.25	-2.65	-2.35	7 4	20
6.75	9	-1.65	-1.35	8 3	20
21.75	9	-1.65	-1.35	9 3	20
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	20
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	20
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	20
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	20
-75.0833333333334	-66.5833333333334	-4.65	-4.35	14 12	20
-58.0833333333333	-66.5833333333334	-4.65	-4.35	15 12	20
-59.3333333333333	-58.0833333333333	-5.65	-5.35	16 15	20
-42.3333333333333	-58.0833333333333	-5.65	-5.35	17 15	20
-43.0833333333333	-32.5833333333333	-4.65	-4.35	18 10	20
-31.0833333333333	-32.5833333333333	-4.65	-4.35	19 10	20
17.4166666666667	6.75	-2.65	-2.35	20 8	20
36.4166666666667	6.75	-2.65	-2.35	21 8	20
-88.3333333333333	-75.0833333333334	-5.65	-5.35	22 14	20
-76.3333333333334	-75.0833333333334	-5.65	-5.35	23 14	20
-13.5833333333333	-8.25	-2.65	-2.35	24 5	20
-1.58333333333333	-8.25	-2.65	-2.35	25 5	20
8.91666666666667	17.4166666666667	-3.65	-3.35	26 20	20
20.9166666666667	17.4166666666667	-3.65	-3.35	27 20	20
-66.3333333333334	-59.3333333333333	-6.65	-6.35	28 16	20
-52.3333333333333	-59.3333333333333	-6.65	-6.35	29 16	20
-74.3333333333333	-66.3333333333334	-7.65	-7.35	30 28	20
-58.3333333333334	-66.3333333333334	-7.65	-7.35	31 28	20
-19.0833333333333	-17.5833333333333	-4.65	-4.35	32 11	20
-7.08333333333334	-17.5833333333333	-4.65	-4.35	33 11	20
-86.5833333333334	-74.3333333333333	-8.65	-8.35	34 30	20
-71.5833333333334	-74.3333333333333	-8.65	-8.35	35 30	20
-92.5833333333333	-86.5833333333334	-9.65	-9.35	36 34	20
-80.5833333333334	-86.5833333333334	-9.65	-9.35	37 34	20
32.9166666666667	36.4166666666667	-3.65	-3.35	38 21	20
44.9166666666667	36.4166666666667	-3.65	-3.35	39 21	20
-59.5833333333334	-58.3333333333334	-8.65	-8.35	40 31	20
-47.5833333333334	-58.3333333333334	-8.65	-8.35	41 31	20
-9	0	-0.65	-0.35	2 1	21
9	0	-0.65	-0.35	3 1	21
-20.25	-9	-1.65	-1.35	4 2	21
-8.25	-9	-1.65	-1.35	5 2	21
-50.5833333333333	-20.25	-2.65	-2.35	6 4	21
-31.5833333333333	-20.25	-2.65	-2.35	7 4	21
6.75	9	-1.65	-1.35	8 3	21
21.75	9	-1.65	-1.35	9 3	21
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	21
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	21
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	21
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	21
-75.9166666666667	-66.5833333333334	-4.65	-4.35	14 12	21
-58.9166666666667	-66.5833333333334	-4.65	-4.35	15 12	21
-60.1666666666667	-58.9166666666667	-5.65	-5.35	16 15	21
-43.1666666666667	-58.9166666666667	-5.65	-5.35	17 15	21
-44.9166666666667	-32.5833333333333	-4.65	-4.35	18 10	21
-32.9166666666667	-32.5833333333333	-4.65	-4.35	19 10	21
17.4166666666667	6.75	-2.65	-2.35	20 8	21
36.4166666666667	6.75	-2.65	-2.35	21 8	21
-89.1666666666667	-75.9166666666667	-5.65	-5.35	22 14	21
-77.1666666666667	-75.9166666666667	-5.65	-5.35	23 14	21
-13.5833333333333	-8.25	-2.65	-2.35	24 5	21
-1.58333333333333	-8.25	-2.65	-2.35	25 5	21
8.91666666666667	17.4166666666667	-3.65	-3.35	26 20	21
20.9166666666667	17.4166666666667	-3.65	-3.35	27 20	21
-67.1666666666667	-60.1666666666667	-6.65	-6.35	28 16	21
-53.1666666666667	-60.1666666666667	-6.65	-6.35	29 16	21
-75.1666666666667	-67.1666666666667	-7.65	-7.35	30 28	21
-59.1666666666667	-67.1666666666667	-7.65	-7.35	31 28	21
-17.9166666666667	-17.5833333333333	-4.65	-4.35	32 11	21
-2.91666666666667	-17.5833333333333	-4.65	-4.35	33 11	21
-87.4166666666667	-75.1666666666667	-8.65	-8.35	34 30	21
-72.4166666666667	-75.1666666666667	-8.65	-8.35	35 30	21
-93.4166666666667	-87.4166666666667	-9.65	-9.35	36 34	21
-81.4166666666667	-87.4166666666667	-9.65	-9.35	37 34	21
32.9166666666667	36.4166666666667	-3.65	-3.35	38 21	21
44.9166666666667	36.4166666666667	-3.65	-3.35	39 21	21
-60.4166666666667	-59.1666666666667	-8.65	-8.35	40 31	21
-48.4166666666667	-59.1666666666667	-8.65	-8.35	41 31	21
-23.9166666666667	-17.9166666666667	-5.65	-5.35	42 32	21
-11.9166666666667	-17.9166666666667	-5.65	-5.35	43 32	21
-9	0	-0.65	-0.35	2 1	22
9	0	-0.65	-0.35	3 1	22
-20.25	-9	-1.65	-1.35	4 2	22
-8.25	-9	-1.65	-1.35	5 2	22
-50.5833333333333	-20.25	-2.65	-2.35	6 4	22
-31.5833333333333	-20.25	-2.65	-2.35	7 4	22
6.75	9	-1.65	-1.35	8 3	22
21.75	9	-1.65	-1.35	9 3	22
-32.5833333333333	-31.5833333333333	-3.65	-3.35	10 7	22
-17.5833333333333	-31.5833333333333	-3.65	-3.35	11 7	22
-66.5833333333334	-50.5833333333333	-3.65	-3.35	12 6	22
-47.5833333333334	-50.5833333333333	-3.65	-3.35	13 6	22
-79.4166666666667	-66.5833333333334	-4.65	-4.35	14 12	22
-62.4166666666667	-66.5833333333334	-4.65	-4.35	15 12	22
-70.5416666666667	-62.4166666666667	-5.65	-5.35	16 15	22
-53.5416666666667	-62.4166666666667	-5.65	-5.35	17 15	22
-45.4166666666667	-32.5833333333333	-4.65	-4.35	18 10	22
-30.4166666666667	-32.5833333333333	-4.65	-4.35	19 10	22
17.4166666666667	6.75	-2.65	-2.35	20 8	22
36.4166666666667	6.75	-2.65	-2.35	21 8	22
-99.5416666666667	-79.4166666666667	-5.65	-5.35	22 14	22
-87.5416666666667	-79.4166666666667	-5.65	-5.35	23 14	22
-13.5833333333333	-8.25	-2.65	-2.35	24 5	22
-1.58333333333333	-8.25	-2.65	-2.35	25 5	22
