fill	xmin	xmax	ymin	ymax	key	showSelected1
#81D1FF	12.6	23.4	-2.35	-1.65	9	9
#BEBEBE	-17.6	-1.4	-4.35	-3.65	10	9
#FF7C5B	0.0999999999999996	10.9	-4.35	-3.65	11	9
#BEBEBE	-55.2	-31.8	-4.35	-3.65	12	9
#18C0FF	-29.9	-19.1	-4.35	-3.65	13	9
#48C5FF	-55.9	-45.1	-5.35	-4.65	14	9
#BEBEBE	-43.7	-29.3	-5.35	-4.65	15	9
#9AD9FF	-47.9	-37.1	-6.35	-5.65	16	9
#FF6C4A	-35.9	-25.1	-6.35	-5.65	17	9
#8ED5FF	-20.9	-10.1	-5.35	-4.65	18	9
#FFAF95	-8.9	1.9	-5.35	-4.65	19	9
#BEBEBE	-5.4	5.4	-0.35	0.35	1	10
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	10
#BEBEBE	2.7	15.3	-1.35	-0.65	3	10
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	10
#FF5938	-13.65	-2.85	-2.35	-1.65	5	10
#BEBEBE	-39.3	-26.7	-3.35	-2.65	6	10
#BEBEBE	-24.8	-3.2	-3.35	-2.65	7	10
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	10
#81D1FF	16.35	27.15	-2.35	-1.65	9	10
#BEBEBE	-23.1	-6.9	-4.35	-3.65	10	10
#FF7C5B	-5.4	5.4	-4.35	-3.65	11	10
#BEBEBE	-60.7	-37.3	-4.35	-3.65	12	10
#18C0FF	-35.4	-24.6	-4.35	-3.65	13	10
#48C5FF	-61.4	-50.6	-5.35	-4.65	14	10
#BEBEBE	-49.2	-34.8	-5.35	-4.65	15	10
#9AD9FF	-53.4	-42.6	-6.35	-5.65	16	10
#FF6C4A	-41.4	-30.6	-6.35	-5.65	17	10
#8ED5FF	-26.4	-15.6	-5.35	-4.65	18	10
#FFAF95	-14.4	-3.6	-5.35	-4.65	19	10
#FF987A	-1.4	9.4	-3.35	-2.65	20	10
#FF2C15	10.6	21.4	-3.35	-2.65	21	10
#BEBEBE	-5.4	5.4	-0.35	0.35	1	11
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	11
#BEBEBE	2.7	15.3	-1.35	-0.65	3	11
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	11
#FF5938	-13.65	-2.85	-2.35	-1.65	5	11
#BEBEBE	-39.3	-26.7	-3.35	-2.65	6	11
#BEBEBE	-24.8	-3.2	-3.35	-2.65	7	11
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	11
#81D1FF	16.35	27.15	-2.35	-1.65	9	11
#BEBEBE	-23.1	-6.9	-4.35	-3.65	10	11
#FF7C5B	-5.4	5.4	-4.35	-3.65	11	11
#BEBEBE	-60.7	-37.3	-4.35	-3.65	12	11
#18C0FF	-35.4	-24.6	-4.35	-3.65	13	11
#BEBEBE	-65.6	-49.4	-5.35	-4.65	14	11
#BEBEBE	-47.7	-33.3	-5.35	-4.65	15	11
#9AD9FF	-48.4	-37.6	-6.35	-5.65	16	11
#FF6C4A	-36.4	-25.6	-6.35	-5.65	17	11
#8ED5FF	-26.4	-15.6	-5.35	-4.65	18	11
#FFAF95	-14.4	-3.6	-5.35	-4.65	19	11
#FF987A	-1.4	9.4	-3.35	-2.65	20	11
#FF2C15	10.6	21.4	-3.35	-2.65	21	11
#2FC2FF	-72.4	-61.6	-6.35	-5.65	22	11
#83D2FF	-60.4	-49.6	-6.35	-5.65	23	11
#BEBEBE	-5.4	5.4	-0.35	0.35	1	12
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	12
#BEBEBE	2.7	15.3	-1.35	-0.65	3	12
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	12
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	12
#BEBEBE	-53.3833333333333	-40.7833333333333	-3.35	-2.65	6	12
#BEBEBE	-38.8833333333333	-17.2833333333333	-3.35	-2.65	7	12
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	12
#81D1FF	16.35	27.15	-2.35	-1.65	9	12
#BEBEBE	-37.1833333333333	-20.9833333333333	-4.35	-3.65	10	12
#FF7C5B	-19.4833333333333	-8.68333333333333	-4.35	-3.65	11	12
#BEBEBE	-74.7833333333334	-51.3833333333334	-4.35	-3.65	12	12
#18C0FF	-49.4833333333333	-38.6833333333333	-4.35	-3.65	13	12
#BEBEBE	-79.6833333333333	-63.4833333333333	-5.35	-4.65	14	12
#BEBEBE	-61.7833333333334	-47.3833333333333	-5.35	-4.65	15	12
#9AD9FF	-62.4833333333334	-51.6833333333334	-6.35	-5.65	16	12
#FF6C4A	-50.4833333333334	-39.6833333333333	-6.35	-5.65	17	12
#8ED5FF	-40.4833333333333	-29.6833333333333	-5.35	-4.65	18	12
#FFAF95	-28.4833333333333	-17.6833333333333	-5.35	-4.65	19	12
#FF987A	8.51666666666667	19.3166666666667	-3.35	-2.65	20	12
#FF2C15	20.5166666666667	31.3166666666667	-3.35	-2.65	21	12
#2FC2FF	-86.4833333333334	-75.6833333333333	-6.35	-5.65	22	12
#83D2FF	-74.4833333333334	-63.6833333333334	-6.35	-5.65	23	12
#FFB59D	-15.4833333333333	-4.68333333333333	-3.35	-2.65	24	12
#FF2E16	-3.48333333333333	7.31666666666667	-3.35	-2.65	25	12
#BEBEBE	-5.4	5.4	-0.35	0.35	1	13
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	13
#BEBEBE	2.7	15.3	-1.35	-0.65	3	13
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	13
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	13
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	13
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	13
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	13
#81D1FF	16.35	27.15	-2.35	-1.65	9	13
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	13
#FF7C5B	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	13
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	13
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	13
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	13
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	13
#9AD9FF	-65.9833333333334	-55.1833333333333	-6.35	-5.65	16	13
#FF6C4A	-53.9833333333333	-43.1833333333333	-6.35	-5.65	17	13
#8ED5FF	-43.9833333333333	-33.1833333333333	-5.35	-4.65	18	13
#FFAF95	-31.9833333333333	-21.1833333333333	-5.35	-4.65	19	13
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	13
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	13
#2FC2FF	-89.9833333333334	-79.1833333333333	-6.35	-5.65	22	13
#83D2FF	-77.9833333333334	-67.1833333333333	-6.35	-5.65	23	13
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	13
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	13
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	13
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	13
#BEBEBE	-5.4	5.4	-0.35	0.35	1	14
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	14
#BEBEBE	2.7	15.3	-1.35	-0.65	3	14
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	14
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	14
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	14
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	14
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	14
#81D1FF	16.35	27.15	-2.35	-1.65	9	14
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	14
#FF7C5B	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	14
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	14
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	14
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	14
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	14
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	14
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	14
#8ED5FF	-43.9833333333333	-33.1833333333333	-5.35	-4.65	18	14
#FFAF95	-31.9833333333333	-21.1833333333333	-5.35	-4.65	19	14
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	14
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	14
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	14
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	14
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	14
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	14
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	14
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	14
#A9DEFF	-70.7333333333334	-59.9333333333334	-7.35	-6.65	28	14
#00BFFF	-58.7333333333334	-47.9333333333334	-7.35	-6.65	29	14
#BEBEBE	-5.4	5.4	-0.35	0.35	1	15
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	15
#BEBEBE	2.7	15.3	-1.35	-0.65	3	15
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	15
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	15
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	15
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	15
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	15
#81D1FF	16.35	27.15	-2.35	-1.65	9	15
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	15
#FF7C5B	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	15
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	15
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	15
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	15
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	15
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	15
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	15
#8ED5FF	-43.9833333333333	-33.1833333333333	-5.35	-4.65	18	15
#FFAF95	-31.9833333333333	-21.1833333333333	-5.35	-4.65	19	15
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	15
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	15
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	15
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	15
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	15
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	15
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	15
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	15
#BEBEBE	-73.5333333333334	-59.1333333333333	-7.35	-6.65	28	15
#00BFFF	-57.7333333333333	-46.9333333333333	-7.35	-6.65	29	15
#D6EEFF	-77.7333333333334	-66.9333333333333	-8.35	-7.65	30	15
#56C7FF	-65.7333333333334	-54.9333333333334	-8.35	-7.65	31	15
#BEBEBE	-5.4	5.4	-0.35	0.35	1	16
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	16
#BEBEBE	2.7	15.3	-1.35	-0.65	3	16
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	16
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	16
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	16
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	16
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	16
#81D1FF	16.35	27.15	-2.35	-1.65	9	16
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	16
#BEBEBE	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	16
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	16
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	16
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	16
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	16
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	16
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	16
#8ED5FF	-48.4833333333333	-37.6833333333333	-5.35	-4.65	18	16
#FFAF95	-36.4833333333333	-25.6833333333333	-5.35	-4.65	19	16
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	16
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	16
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	16
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	16
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	16
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	16
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	16
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	16
#BEBEBE	-73.5333333333334	-59.1333333333333	-7.35	-6.65	28	16
#00BFFF	-57.7333333333333	-46.9333333333333	-7.35	-6.65	29	16
#D6EEFF	-77.7333333333334	-66.9333333333333	-8.35	-7.65	30	16
#56C7FF	-65.7333333333334	-54.9333333333334	-8.35	-7.65	31	16
#FFB79F	-24.4833333333333	-13.6833333333333	-5.35	-4.65	32	16
#FF331A	-12.4833333333333	-1.68333333333334	-5.35	-4.65	33	16
#BEBEBE	-5.4	5.4	-0.35	0.35	1	17
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	17
#BEBEBE	2.7	15.3	-1.35	-0.65	3	17
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	17
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	17
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	17
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	17
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	17
#81D1FF	16.35	27.15	-2.35	-1.65	9	17
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	17
#BEBEBE	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	17
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	17
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	17
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	17
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	17
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	17
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	17
#8ED5FF	-48.4833333333333	-37.6833333333333	-5.35	-4.65	18	17
#FFAF95	-36.4833333333333	-25.6833333333333	-5.35	-4.65	19	17
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	17
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	17
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	17
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	17
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	17
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	17
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	17
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	17
#BEBEBE	-73.5333333333334	-59.1333333333333	-7.35	-6.65	28	17
#00BFFF	-57.7333333333333	-46.9333333333333	-7.35	-6.65	29	17
#BEBEBE	-80.5333333333334	-66.1333333333333	-8.35	-7.65	30	17
#56C7FF	-64.7333333333334	-53.9333333333333	-8.35	-7.65	31	17
#FFB79F	-24.4833333333333	-13.6833333333333	-5.35	-4.65	32	17
#FF331A	-12.4833333333333	-1.68333333333334	-5.35	-4.65	33	17
#EDF7FF	-84.7333333333333	-73.9333333333333	-9.35	-8.65	34	17
#3DC3FF	-72.7333333333334	-61.9333333333334	-9.35	-8.65	35	17
#BEBEBE	-5.4	5.4	-0.35	0.35	1	18
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	18
#BEBEBE	2.7	15.3	-1.35	-0.65	3	18
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	18
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	18
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	18
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	18
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	18
#81D1FF	16.35	27.15	-2.35	-1.65	9	18
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	18
#BEBEBE	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	18
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	18
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	18
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	18
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	18
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	18
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	18
#8ED5FF	-48.4833333333333	-37.6833333333333	-5.35	-4.65	18	18
#FFAF95	-36.4833333333333	-25.6833333333333	-5.35	-4.65	19	18
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	18
#FF2C15	31.0166666666667	41.8166666666667	-3.35	-2.65	21	18
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	18
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	18
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	18
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	18
#F2FAFF	6.01666666666667	16.8166666666667	-4.35	-3.65	26	18
#FF4C2D	18.0166666666667	28.8166666666667	-4.35	-3.65	27	18
#BEBEBE	-73.5333333333334	-59.1333333333333	-7.35	-6.65	28	18
#00BFFF	-57.7333333333333	-46.9333333333333	-7.35	-6.65	29	18
#BEBEBE	-80.5333333333334	-66.1333333333333	-8.35	-7.65	30	18
#56C7FF	-64.7333333333334	-53.9333333333333	-8.35	-7.65	31	18
#FFB79F	-24.4833333333333	-13.6833333333333	-5.35	-4.65	32	18
#FF331A	-12.4833333333333	-1.68333333333334	-5.35	-4.65	33	18
#BEBEBE	-88.9333333333333	-72.7333333333334	-9.35	-8.65	34	18
#3DC3FF	-71.2333333333334	-60.4333333333334	-9.35	-8.65	35	18
#FFF9F6	-92.2333333333333	-81.4333333333333	-10.35	-9.65	36	18
#00BFFF	-80.2333333333334	-69.4333333333333	-10.35	-9.65	37	18
#BEBEBE	-5.4	5.4	-0.35	0.35	1	19
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	19
#BEBEBE	2.7	15.3	-1.35	-0.65	3	19
#BEBEBE	-25.65	-14.85	-2.35	-1.65	4	19
#BEBEBE	-13.65	-2.85	-2.35	-1.65	5	19
#BEBEBE	-56.8833333333333	-44.2833333333333	-3.35	-2.65	6	19
#BEBEBE	-42.3833333333333	-20.7833333333333	-3.35	-2.65	7	19
#BEBEBE	-1.35	14.85	-2.35	-1.65	8	19
#81D1FF	16.35	27.15	-2.35	-1.65	9	19
#BEBEBE	-40.6833333333333	-24.4833333333333	-4.35	-3.65	10	19
#BEBEBE	-22.9833333333333	-12.1833333333333	-4.35	-3.65	11	19
#BEBEBE	-78.2833333333334	-54.8833333333333	-4.35	-3.65	12	19
#18C0FF	-52.9833333333334	-42.1833333333333	-4.35	-3.65	13	19
#BEBEBE	-83.1833333333333	-66.9833333333334	-5.35	-4.65	14	19
#BEBEBE	-65.2833333333334	-50.8833333333334	-5.35	-4.65	15	19
#BEBEBE	-69.2333333333334	-49.4333333333334	-6.35	-5.65	16	19
#FF6C4A	-47.7333333333333	-36.9333333333333	-6.35	-5.65	17	19
#8ED5FF	-48.4833333333333	-37.6833333333333	-5.35	-4.65	18	19
#FFAF95	-36.4833333333333	-25.6833333333333	-5.35	-4.65	19	19
#BEBEBE	5.71666666666667	29.1166666666667	-3.35	-2.65	20	19
#BEBEBE	31.0166666666667	41.8166666666667	-3.35	-2.65	21	19
#2FC2FF	-93.7333333333333	-82.9333333333334	-6.35	-5.65	22	19
#83D2FF	-81.7333333333334	-70.9333333333333	-6.35	-5.65	23	19
#FFB59D	-18.9833333333333	-8.18333333333334	-3.35	-2.65	24	19
#FF2E16	-6.98333333333333	3.81666666666667	-3.35	-2.65	25	19
#F2FAFF	3.51666666666667	14.3166666666667	-4.35	-3.65	26	19
#FF4C2D	15.5166666666667	26.3166666666667	-4.35	-3.65	27	19
#BEBEBE	-73.5333333333334	-59.1333333333333	-7.35	-6.65	28	19
#00BFFF	-57.7333333333333	-46.9333333333333	-7.35	-6.65	29	19
#BEBEBE	-80.5333333333334	-66.1333333333333	-8.35	-7.65	30	19
#56C7FF	-64.7333333333334	-53.9333333333333	-8.35	-7.65	31	19
#FFB79F	-24.4833333333333	-13.6833333333333	-5.35	-4.65	32	19
#FF331A	-12.4833333333333	-1.68333333333334	-5.35	-4.65	33	19
#BEBEBE	-88.9333333333333	-72.7333333333334	-9.35	-8.65	34	19
#3DC3FF	-71.2333333333334	-60.4333333333334	-9.35	-8.65	35	19
#FFF9F6	-92.2333333333333	-81.4333333333333	-10.35	-9.65	36	19
